"dataElement","period","orgUnit","categoryOptionCombo","attributeOptionCombo","value","storedBy","created","lastUpdated","followUp","comment"
"ZjX6dK8ZNm4","2016Q1","cLp813cBWTe","wGxoultJedR","wGxoultJedR","1","Gonleyen","2016-04-14T17:20:53.051+0000","2016-04-14T17:20:53.049+0000",FALSE,NA
"UOY2PKzbA81","2016Q1","cLp813cBWTe","wGxoultJedR","wGxoultJedR","15","Gonleyen","2016-04-14T17:20:31.138+0000","2016-04-14T17:21:34.833+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","cLp813cBWTe","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:20:21.511+0000","2016-04-14T18:21:04.262+0000",FALSE,NA
"ZjX6dK8ZNm4","2016Q1","djTh19pqo2S","wGxoultJedR","wGxoultJedR","1","Gonleyen","2016-04-14T17:28:28.947+0000","2016-04-14T17:28:28.946+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","djTh19pqo2S","wGxoultJedR","wGxoultJedR","6","Gonleyen","2016-04-14T17:28:34.618+0000","2016-04-14T17:28:34.615+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","djTh19pqo2S","wGxoultJedR","wGxoultJedR","6","Gonleyen","2016-04-14T17:28:37.963+0000","2016-04-14T17:28:37.961+0000",FALSE,NA
"OkdjDuBoeN2","2016Q1","sCxJCncD492","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:29:13.600+0000","2016-04-14T17:29:13.598+0000",FALSE,NA
"OkdjDuBoeN2","2016Q1","VBY8GcHvIuE","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:08:40.215+0000","2016-04-14T18:08:40.213+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","VBY8GcHvIuE","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:08:40.777+0000","2016-04-14T18:08:40.775+0000",FALSE,NA
"tVr3DNBPDif","2016Q1","VBY8GcHvIuE","wGxoultJedR","wGxoultJedR","7","Gonleyen","2016-04-14T18:08:44.831+0000","2016-04-14T18:08:58.025+0000",FALSE,NA
"UOY2PKzbA81","2016Q1","VBY8GcHvIuE","wGxoultJedR","wGxoultJedR","7","Gonleyen","2016-04-14T18:09:04.376+0000","2016-04-14T18:09:04.374+0000",FALSE,NA
"ZjX6dK8ZNm4","2016Q1","VBY8GcHvIuE","wGxoultJedR","wGxoultJedR","1","Gonleyen","2016-04-14T18:09:10.189+0000","2016-04-14T18:09:10.187+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","VBY8GcHvIuE","wGxoultJedR","wGxoultJedR","8","Gonleyen","2016-04-14T18:09:12.162+0000","2016-04-14T18:09:12.160+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","Rt00cGFxjRw","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:09:54.221+0000","2016-04-14T18:09:54.219+0000",FALSE,NA
"tVr3DNBPDif","2016Q1","Rt00cGFxjRw","wGxoultJedR","wGxoultJedR","16","Gonleyen","2016-04-14T18:09:58.341+0000","2016-04-14T18:09:58.339+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","Rt00cGFxjRw","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:10:02.028+0000","2016-04-14T18:10:02.026+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","wT6YqLTfVwJ","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:38:32.504+0000","2016-04-14T18:25:00.708+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","gQaYL5j0hei","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:39:41.114+0000","2016-04-14T18:25:21.597+0000",FALSE,NA
